Sr no.,Reel Links,Post Date,Appeal Type,Narrative Style,Transparency,CTA,Views,Likes,Coments
1,https://www.instagram.com/reel/DZmb5ZMN-Ov/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,16-6-2026,Teaching — the creator visits a restaurant and tells viewers what food is good and what deals are available.,Live moment — the creator is at the restaurant right now and sharing what they see and taste.,Medium — the creator shares menu details and honest food reactions but does not say if it is a paid visit.,Not directly said — viewers naturally feel like going to try the pizza deals after watching.,19.6k,397,8
2,https://www.instagram.com/reel/DZk624etmP8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,15-6-2026,"Positive and social — the creator shows a cultural event with many people, fun stalls, and a happy crowd.",Live moment — the creator is walking around the event and capturing everything as it happens.,Medium — the creator shows real stalls and real crowd reactions but does not explain their personal connection to the event.,Not directly said — viewers feel like attending a local festival or cultural event after watching.,59k,731,52
3,https://www.instagram.com/reel/DZhY-zGofsa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,14-6-2026,Teaching — the creator helps a final-year student understand how to plan for studying in the UK.,Live moment — the student is still in their final year and planning their next steps right now.,Medium — the creator shares the consultant advice and student background but does not reveal all details.,Not directly said — final-year students feel like contacting AIMS Education for help after watching.,10.6k,301,6
4,https://www.instagram.com/reel/DZcPUmON_VR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,12-6-2026,Teaching — the creator gives a tour of an institute to show students what the place looks like.,Live moment — the creator walks through the campus and shows everything in real time.,Medium — the creator openly shows the buildings and setup but does not share any deeper inside information.,Not directly said — students feel like visiting or enrolling in the institute after watching.,10.3k,288,5
5,https://www.instagram.com/reel/DZSLJ6Rt2MV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,7-6-2026,Struggle and teaching — a student is working hard during vacation to find good mangoes for their new business.,Live moment — the startup is just launching and the creator is sharing the progress as it happens.,High — the creator openly tells viewers about the 3-month plan and the fact that they are a student doing this during vacation.,Not directly said — viewers feel like supporting the new small seasonal business after watching.,46.6k,1553,23
6,https://www.instagram.com/reel/DZfIiSftsdi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,13-6-2026,Struggle and teaching — the creator is dealing with bad weather and still trying to set up a clothing brand shoot.,Live moment — the creator shares the update from the weather problem to the shoot setup as it happens.,"High — the creator honestly shares the delay, the problem caused by weather, and the current progress.",Not directly said — viewers feel curious and want to stay tuned for the clothing brand launch.,19.5k,386,0
7,https://www.instagram.com/reel/DVBO0YeiLPC/?utm_source=ig_web_copy_link,3-6-2026,Struggle — the creator shares how their food got ruined because of bad weather in Multan but stays strong.,Live moment — the creator is going through this loss right now and processing their feelings in the video.,High — the creator clearly shares the financial loss and their personal feelings and faith.,"Not directly said — viewers naturally feel like showing support, sending prayers, or leaving kind comments.",137k,4347,72
8,https://www.instagram.com/reel/DZA3LAqN-Hz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,31-5-2026,Challenge and teaching — the creator gets a fresh new look and also explores different stalls at an event.,Live moment — the creator is moving around the event right now and showing everything as it happens.,Medium — the creator shows the real look change and the event setup but does not share deeper personal details.,Not directly said — viewers feel like trying a new look or visiting the event stalls after watching.,44.1k,722,24
9,https://www.instagram.com/reel/DYwXewLIHwp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,25-5-2026,Challenge and teaching — the creator deals with a surprise disruption at the event and still shows how everything works behind the scenes.,Live moment — the creator is in the middle of event preparation and the drama is happening right now.,High — the creator shows each step of the preparation and does not hide the unexpected problem that happened.,Not directly said — viewers feel hooked and want to see how the stall handles the situation or visit the Ranraza event.,59.2k,1865,27
10,https://www.instagram.com/reel/DYtvUATt1rw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,24-5-2026,Positive and teaching — the creator promotes a community event with low ticket prices and shows the stall setup happening behind the scenes.,Live moment — the preparations for the event are actively happening and the creator shares each step.,High — the creator openly tells viewers the ticket prices and exactly how far the setup has come.,Suggested — the creator hints at viewers buying low-priced tickets and coming to attend the event.,42.8k,1050,10
