Serial no,Comments,Human Analysis,Chatgpt Analysis,Gemini Analysis,Claude Analysis,Meta analysis,Grok Analysis
1,Ufff ye papers b na.,Negative,Positive,Neutral,Neutral,Positive,Neutral
2,Allah pak apko kamyab kry!!,Positive,Positive,Positive,Positive,Positive,Positive
3,"May Allah give you more success man, on with the Hard Work????",Positive,Positive,Positive,Positive,Positive,Positive
4,More power to yu Man????,Positive,Positive,Positive,Positive,Positive,Positive
5,Zabardast bachay Allah tumhain qamyabi atta,Positive,Positive,Positive,Positive,Positive,Positive
6,"Try avoiding the boycotted brands Baki good hogyaaaa , lgy raho shahzaday",Neutral,Positive,Positive,Neutral,Positive,Neutral
7,Allah kamyab kry bhai??,Positive,Positive,Positive,Positive,Positive,Positive
8,Allah kamyaab kryn aur barkat daly ap k kam main Ameen.,Positive,Positive,Positive,Positive,Positive,Positive
9,More power to you????,Positive,Positive,Positive,Positive,Positive,Positive
10,ALLAH pak apko bohot kamyaab kary .,Positive,Positive,Positive,Positive,Positive,Positive
11,Lays ki jaga koi or chips use kia kren,Neutral,Positive,Neutral,Neutral,Positive,Neutral
12,ap to Multan sy hn ??,Positive,Positive,Neutral,Positive,Positive,Positive
13,May Allah gives you success,Positive,Positive,Positive,Positive,Positive,Positive
14,Mola barkaat dy,Positive,Positive,Positive,Positive,Positive,Positive
15,Allah kamiyab kre,Positive,Positive,Positive,Positive,Positive,Positive
16,Allahpak bohat kaamyaab kary barkat de or inshAllah restaurants owner bano,Positive,Positive,Positive,Positive,Positive,Positive
17,Amazing!! May Allah give barkat!! All the best,Positive,Positive,Positive,Positive,Positive,Positive
18,love you dear really a proud feeling being your teacher,Positive,Positive,Positive,Positive,Positive,Positive
19,Wishing you all the very best! Keep up the spirit and the hard work,Positive,Positive,Positive,Positive,Negative,Positive
20,Hard work always pays off,Positive,Positive,Positive,Positive,Positive,Positive
21,May Allah grant you success & much more,Positive,Positive,Positive,Positive,Positive,Positive
22,Allah pak apko kamyab kry,Positive,Positive,Positive,Positive,Positive,Positive
23,We support you bro but Dont support genocide,Negative,Positive,Positive,Negative,Positive,Negative
24,Allah Pak kameeya karay hamasha,Positive,Negative,Positive,Positive,Positive,Positive
25,So good that this guy is working hard,Positive,Positive,Positive,Positive,Positive,Positive
26,Replace with local products,Neutral,Positive,Neutral,Neutral,Positive,Neutral
27,Boycott Lays. Uni student ho kr bhi nahi pta ke ye israeLi hein?,Negative,Neutral,Neutral,Negative,Negative,Negative
28,May you get more success,Positive,Negative,Positive,Positive,Positive,Positive
29,Zabardastt bro love you from karachi,Positive,Positive,Positive,Positive,Positive,Positive
30,Proud of you bro keep hustling,Positive,Positive,Positive,Positive,Positive,Positive
31,What a great video,Positive,Positive,Positive,Positive,Positive,Positive
32,ALLAH pak bth barkt dey Ameen,Positive,Positive,Positive,Positive,Positive,Positive
33,Allah pak young generation ko ap k jesi motivation dy bhai,Positive,Positive,Positive,Positive,Positive,Positive
34,Allah aur barkat dy ameen,Positive,Positive,Positive,Positive,Positive,Positive
35,Allah pak apko Bhut tareeqi de ameen,Positive,Positive,Positive,Positive,Positive,Positive
36,Allah mere bhai ko kamiyab kray,Positive,Positive,Positive,Positive,Positive,Positive
37,Allah pak apko mazeed kamyabiyan kamraniya atta kerain keep it up,Positive,Positive,Positive,Positive,Positive,Positive
38,Good luck. Allah pak barkat den,Positive,Positive,Positive,Positive,Negative,Positive
39,Well-done bhai inshallah zaror kamyab hoge app,Positive,Positive,Positive,Positive,Negative,Positive
40,Buht mehnti insaaan hai Allah mazeed kamyabia dey,Positive,Positive,Positive,Positive,Positive,Positive
41,Allah Pak kamiyabi de hmesha amen,Positive,Positive,Positive,Positive,Positive,Positive
42,Allah apko bohat kamyabi de or rizq mai bepanah izzafa de ameen,Neutral,Positive,Neutral,Positive,Positive,Positive
43,Keep it up bro you are doing amazing job,Positive,Neutral,Positive,Positive,Positive,Positive
44,Can't you please boycott lays,Negative,Positive,Negative,Negative,Positive,Negative
45,Lagay Raho Boss ... Kamiyabi Khud chal kar ayegi,Negative,Positive,Positive,Negative,Positive,Negative
46,bhai aap itna acha kaam kar rahay ho magar aap Israeli product use kar rahay ho,Positive,Positive,Positive,Positive,Positive,Positive
47,May Allah give you more success man,Negative,Negative,Negative,Positive,Negative,Negative
48,Wow mehnat krty rho mashAllah halal mai he skon hai,Positive,Positive,Positive,Positive,Positive,Positive
49,We support you bro but Dont support genocide,Negative,Positive,Negative,Negative,Positive,Negative
50,Proud of you bro keep hustling,Positive,Positive,Positive,Positive,Positive,Positive
